"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"[Activities] by Skill","","","0","0","7","0","0"
"[HD] No Authorization cases","","","0","0","4","0","0"
"[HD] Authorization cases","","","0","0","6","0","0"
"[Activities] Games","","","0","0","6","0","0"
"","","","0","0","1","0","0"
"[Menu] Notifications","","","0","0","1","0","0"
"[Activities] Kindness Chain","","","0","0","1","0","0"
"[Menu] Legal","","","0","0","1","0","0"
"[Menu] Blocked users","","","0","0","1","0","0"
"[Menu] Resources","","","0","0","1","0","0"
"[Menu] Disclaimer","","","0","0","1","0","0"
