"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 09 18:30:38 GMT 2022","Wed Nov 09 18:30:39 GMT 2022","1478","tests.activities","test_activities_api","TestActivitiesSkill","","","test_activities_skill[R-01]","This test checks /api/activities     and api/v3/activity_status api"
"passed","Wed Nov 09 18:31:25 GMT 2022","Wed Nov 09 18:31:25 GMT 2022","237","tests.upside","test_upside_api","TestUpsideUnlogin","","","test_hd_get_count_of_articles_unlogin","This test checks /happifiers+params api"
"passed","Wed Nov 09 18:30:55 GMT 2022","Wed Nov 09 18:30:55 GMT 2022","144","tests.menu","test_disclaimer_page","TestResourcesPage","","","test_disclaimer_page","This test checks /api/disclaimer/ api"
"passed","Wed Nov 09 18:31:28 GMT 2022","Wed Nov 09 18:31:31 GMT 2022","3067","tests.upside","test_upside_api","TestUpsideLogin","","","test_hd_newsletter_action_login[unsubscribe]","This test checks /happifiers+params api"
"passed","Wed Nov 09 18:30:51 GMT 2022","Wed Nov 09 18:30:52 GMT 2022","449","tests.explore_tracks","test_search_track","TestTracksSearch","","","test_topics_of_track","This test checks api/v2/tracks/search/?query=love"
"passed","Wed Nov 09 18:31:10 GMT 2022","Wed Nov 09 18:31:12 GMT 2022","2506","tests.profile","test_user_data","TestUserData","","","test_user_data[my_user]","This test checks     /api/users/{`user_id`}/"
"passed","Wed Nov 09 18:31:26 GMT 2022","Wed Nov 09 18:31:26 GMT 2022","283","tests.upside","test_upside_api","TestUpsideLogin","","","test_hd_get_count_of_topics_login","This test checks /happifiers+params api"
"passed","Wed Nov 09 18:30:46 GMT 2022","Wed Nov 09 18:30:48 GMT 2022","2102","tests.community","test_community","TestCommunity","","","test_send_comment_to_post","This test checks     /api/activity_statuses/{`post_id`}/comments/"
"passed","Wed Nov 09 18:31:09 GMT 2022","Wed Nov 09 18:31:10 GMT 2022","1144","tests.profile","test_skills","TestSkills","","","test_skills_of_user[RE]","This test checks /api/v3/skills/     and /api/v3/skills/[skill]/ api"
"passed","Wed Nov 09 18:31:25 GMT 2022","Wed Nov 09 18:31:26 GMT 2022","197","tests.upside","test_upside_api","TestUpsideLogin","","","test_hd_get_article_login","This test checks /happifiers/[id] api"
"passed","Wed Nov 09 18:31:24 GMT 2022","Wed Nov 09 18:31:24 GMT 2022","240","tests.upside","test_upside_api","TestUpsideUnlogin","","","test_hd_get_last_article_unlogin","This test checks /daily api"
"passed","Wed Nov 09 18:30:44 GMT 2022","Wed Nov 09 18:30:45 GMT 2022","911","tests.activities.games","test_games","TestGames","","","test_complete_game[game_data5]","This test checks     /api/activities/game_activity_statuses/ and api/v3/activity_status api"
"passed","Wed Nov 09 18:30:54 GMT 2022","Wed Nov 09 18:30:55 GMT 2022","940","tests.explore_tracks","test_track_topics","TestTracksTopics","","","test_subtopics_of_topics[topic1]","This test checks /api/v2/tracks/life-domains/     and /api/v2/tracks/life-domains/[topic]/ api"
"passed","Wed Nov 09 18:30:56 GMT 2022","Wed Nov 09 18:30:56 GMT 2022","163","tests.menu","test_notifications","TestNotifications","","","test_get_all_notifications","This test checks /api/notifications/ api"
"passed","Wed Nov 09 18:30:52 GMT 2022","Wed Nov 09 18:30:54 GMT 2022","1502","tests.explore_tracks","test_track_topics","TestTracksTopics","","","test_subtopics_of_topics[topic0]","This test checks /api/v2/tracks/life-domains/     and /api/v2/tracks/life-domains/[topic]/ api"
"passed","Wed Nov 09 18:30:56 GMT 2022","Wed Nov 09 18:30:56 GMT 2022","157","tests.menu","test_resources_page","TestResourcesPage","","","test_resource_page","This test checks     /api/get_member_resources_template/ api"
"passed","Wed Nov 09 18:30:52 GMT 2022","Wed Nov 09 18:30:52 GMT 2022","190","tests.explore_tracks","test_track_topics","TestTracksTopics","","","test_topics_of_track[topic1]","This test checks /api/v2/tracks/life-domains/     and /api/v2/tracks/life-domains/[topic]/ api"
"passed","Wed Nov 09 18:30:33 GMT 2022","Wed Nov 09 18:30:34 GMT 2022","1511","tests.activities","test_activities_api","TestActivitiesSkill","","","test_activities_skill[G-03]","This test checks /api/activities     and api/v3/activity_status api"
"passed","Wed Nov 09 18:30:34 GMT 2022","Wed Nov 09 18:30:36 GMT 2022","1837","tests.activities","test_activities_api","TestActivitiesSkill","","","test_activities_skill[E-010]","This test checks /api/activities     and api/v3/activity_status api"
"passed","Wed Nov 09 18:30:42 GMT 2022","Wed Nov 09 18:30:43 GMT 2022","1068","tests.activities.games","test_games","TestGames","","","test_complete_game[game_data3]","This test checks     /api/activities/game_activity_statuses/ and api/v3/activity_status api"
"passed","Wed Nov 09 18:30:31 GMT 2022","Wed Nov 09 18:30:33 GMT 2022","1915","tests.activities","test_activities_api","TestActivitiesSkill","","","test_activities_skill[A-11]","This test checks /api/activities     and api/v3/activity_status api"
"passed","Wed Nov 09 18:30:36 GMT 2022","Wed Nov 09 18:30:38 GMT 2022","1512","tests.activities","test_activities_api","TestActivitiesSkill","","","test_activities_skill[E-011]","This test checks /api/activities     and api/v3/activity_status api"
"passed","Wed Nov 09 18:31:07 GMT 2022","Wed Nov 09 18:31:09 GMT 2022","1155","tests.profile","test_skills","TestSkills","","","test_skills_of_user[EM]","This test checks /api/v3/skills/     and /api/v3/skills/[skill]/ api"
"passed","Wed Nov 09 18:30:56 GMT 2022","Wed Nov 09 18:30:56 GMT 2022","0","tests.other","test_check_of_testing_by_machine","TestCheckOfTestingByMachine","","","test_logic","This test checks works the test         system by not using network"
"passed","Wed Nov 09 18:31:26 GMT 2022","Wed Nov 09 18:31:28 GMT 2022","2513","tests.upside","test_upside_api","TestUpsideLogin","","","test_hd_newsletter_action_login[subscribe]","This test checks /happifiers+params api"
"passed","Wed Nov 09 18:31:13 GMT 2022","Wed Nov 09 18:31:19 GMT 2022","5822","tests.today","test_current_track","TestCurrentTrack","","","test_home_page","This test checks /api/kabinet-homepage/"
"passed","Wed Nov 09 18:30:56 GMT 2022","Wed Nov 09 18:30:56 GMT 2022","127","tests.menu","test_notifications","TestNotifications","","","test_new_notifications","This test checks /api/alerts/new/count/"
"passed","Wed Nov 09 18:31:25 GMT 2022","Wed Nov 09 18:31:25 GMT 2022","139","tests.upside","test_upside_api","TestUpsideLogin","","","test_hd_get_topics_login","This test checks /api/happifiers/topics/ api"
"passed","Wed Nov 09 18:30:55 GMT 2022","Wed Nov 09 18:30:56 GMT 2022","557","tests.menu","test_legal_page","TestResourcesPage","","","test_resource_page","This test checks     /public/legal/"
"passed","Wed Nov 09 18:30:45 GMT 2022","Wed Nov 09 18:30:46 GMT 2022","429","tests.community","test_community","TestCommunity","","","test_community_popular_posts","This test checks     api/activity/?page=1&page_size=12&feed_filter=popular"
"passed","Wed Nov 09 18:30:57 GMT 2022","Wed Nov 09 18:31:02 GMT 2022","5444","tests.profile","test_happiness_assessment","TestHA","","","test_ha_complete","This test checks complete HA"
"passed","Wed Nov 09 18:31:05 GMT 2022","Wed Nov 09 18:31:06 GMT 2022","1426","tests.profile","test_skills","TestSkills","","","test_skills_of_user[AS]","This test checks /api/v3/skills/     and /api/v3/skills/[skill]/ api"
"passed","Wed Nov 09 18:30:55 GMT 2022","Wed Nov 09 18:30:55 GMT 2022","130","tests.menu","test_blocked_users_page","TestResourcesPage","","","test_blocked_users_page","This test checks     /api/v2/user/blocking/get-my/ api"
"passed","Wed Nov 09 18:31:24 GMT 2022","Wed Nov 09 18:31:25 GMT 2022","456","tests.upside","test_upside_api","TestUpsideUnlogin","","","test_hd_get_article_unlogin","This test checks /happifiers/[id] api"
"passed","Wed Nov 09 18:30:39 GMT 2022","Wed Nov 09 18:30:40 GMT 2022","1054","tests.activities.games","test_games","TestGames","","","test_complete_game[game_data0]","This test checks     /api/activities/game_activity_statuses/ and api/v3/activity_status api"
"passed","Wed Nov 09 18:30:51 GMT 2022","Wed Nov 09 18:30:51 GMT 2022","554","tests.community","test_community","TestCommunity","","","test_community_unlike_comment","This test checks     /api/comments/{`comment_id`}/like/"
"passed","Wed Nov 09 18:30:49 GMT 2022","Wed Nov 09 18:30:50 GMT 2022","794","tests.community","test_community","TestCommunity","","","test_community_unlike_post","This test checks     /api/activity_statuses/{`post_id`}/like/"
"passed","Wed Nov 09 18:31:12 GMT 2022","Wed Nov 09 18:31:13 GMT 2022","997","tests.profile","test_user_data","TestUserData","","","test_user_data[another_user]","This test checks     /api/users/{`user_id`}/"
"passed","Wed Nov 09 18:30:46 GMT 2022","Wed Nov 09 18:30:46 GMT 2022","195","tests.community","test_community","TestCommunity","","","test_community_followers_posts","This test checks     /api/activity/?page=1&page_size=12&feed_filter=followers"
"passed","Wed Nov 09 18:30:52 GMT 2022","Wed Nov 09 18:30:52 GMT 2022","219","tests.explore_tracks","test_track_topics","TestTracksTopics","","","test_topics_of_track[topic0]","This test checks /api/v2/tracks/life-domains/     and /api/v2/tracks/life-domains/[topic]/ api"
"passed","Wed Nov 09 18:31:04 GMT 2022","Wed Nov 09 18:31:05 GMT 2022","1104","tests.profile","test_skills","TestSkills","","","test_skills_of_user[TH]","This test checks /api/v3/skills/     and /api/v3/skills/[skill]/ api"
"passed","Wed Nov 09 18:30:27 GMT 2022","Wed Nov 09 18:30:29 GMT 2022","1761","tests.activities","test_activities_api","TestActivitiesSkill","","","test_activities_skill[S-01]","This test checks /api/activities     and api/v3/activity_status api"
"passed","Wed Nov 09 18:30:46 GMT 2022","Wed Nov 09 18:30:46 GMT 2022","162","tests.community","test_community","TestCommunity","","","test_report_post","This test checks /api/report_abuse/ api"
"passed","Wed Nov 09 18:31:02 GMT 2022","Wed Nov 09 18:31:04 GMT 2022","1259","tests.profile","test_skills","TestSkills","","","test_skills_of_user[SA]","This test checks /api/v3/skills/     and /api/v3/skills/[skill]/ api"
"passed","Wed Nov 09 18:30:45 GMT 2022","Wed Nov 09 18:30:45 GMT 2022","258","tests.activities.games","test_kindness_chain_activity","TestKindnessChain","","","test_kindness_chain_activity","This test checks /api/activities     and api/v3/activity_status api"
"passed","Wed Nov 09 18:31:24 GMT 2022","Wed Nov 09 18:31:24 GMT 2022","228","tests.upside","test_upside_api","TestUpsideUnlogin","","","test_hd_get_topics_unlogin","This test checks /topics api"
"passed","Wed Nov 09 18:30:46 GMT 2022","Wed Nov 09 18:30:46 GMT 2022","138","tests.community","test_community","TestCommunity","","","test_community_track_posts","This test checks     /api/activity/?page=1&page_size=12&feed_filter=trackGroup"
"passed","Wed Nov 09 18:30:29 GMT 2022","Wed Nov 09 18:30:31 GMT 2022","2061","tests.activities","test_activities_api","TestActivitiesSkill","","","test_activities_skill[T-09]","This test checks /api/activities     and api/v3/activity_status api"
"passed","Wed Nov 09 18:30:48 GMT 2022","Wed Nov 09 18:30:49 GMT 2022","849","tests.community","test_community","TestCommunity","","","test_community_like_post","This test checks     /api/activity_statuses/{`post_id`}/like/"
"passed","Wed Nov 09 18:31:25 GMT 2022","Wed Nov 09 18:31:25 GMT 2022","167","tests.upside","test_upside_api","TestUpsideLogin","","","test_hd_get_last_article_login","This test checks /happifiers+params api"
"passed","Wed Nov 09 18:30:50 GMT 2022","Wed Nov 09 18:30:51 GMT 2022","617","tests.community","test_community","TestCommunity","","","test_community_like_comment","This test checks     /api/comments/{`comment_id`}/like/"
"passed","Wed Nov 09 18:31:06 GMT 2022","Wed Nov 09 18:31:07 GMT 2022","1334","tests.profile","test_skills","TestSkills","","","test_skills_of_user[GI]","This test checks /api/v3/skills/     and /api/v3/skills/[skill]/ api"
"passed","Wed Nov 09 18:31:19 GMT 2022","Wed Nov 09 18:31:24 GMT 2022","4789","tests.today","test_home_page","TestHomePage","","","test_home_page","This test checks /api/kabinet-homepage/"
"passed","Wed Nov 09 18:30:55 GMT 2022","Wed Nov 09 18:30:55 GMT 2022","388","tests.explore_tracks","test_tracks_featured","TestTracksFeatured","","","test_featured_track","This test checks /api/v2/tracks/featured/ api"
"passed","Wed Nov 09 18:30:56 GMT 2022","Wed Nov 09 18:30:57 GMT 2022","537","tests.profile","test_happiness_assessment","TestHA","","","test_ha_result","This test checks get HA status"
"passed","Wed Nov 09 18:30:40 GMT 2022","Wed Nov 09 18:30:41 GMT 2022","944","tests.activities.games","test_games","TestGames","","","test_complete_game[game_data1]","This test checks     /api/activities/game_activity_statuses/ and api/v3/activity_status api"
"passed","Wed Nov 09 18:30:41 GMT 2022","Wed Nov 09 18:30:42 GMT 2022","943","tests.activities.games","test_games","TestGames","","","test_complete_game[game_data2]","This test checks     /api/activities/game_activity_statuses/ and api/v3/activity_status api"
"passed","Wed Nov 09 18:31:02 GMT 2022","Wed Nov 09 18:31:02 GMT 2022","151","tests.profile","test_happiness_assessment","TestHA","","","test_ha_dismiss_status_after_complete","This test checks dismiss HA after complete it"
"passed","Wed Nov 09 18:30:43 GMT 2022","Wed Nov 09 18:30:44 GMT 2022","989","tests.activities.games","test_games","TestGames","","","test_complete_game[game_data4]","This test checks     /api/activities/game_activity_statuses/ and api/v3/activity_status api"
